Feature,Lasso AUC,Lasso Recall,EN AUC,EN Recall,RFE AUC,RFE Recall,RCV AUC,RCV Recall,SUM
DRVINDETAG,1,1,1,1,1,1,1,1,8
AGE3,0,1,1,1,1,1,1,1,7
IRKI17_2,1,1,1,1,0,1,1,1,7
ADWRENRG,1,1,1,1,1,1,0,0,6
CAMHRCVR,1,1,0,0,1,1,1,1,6
AMIRSUD5ANY,1,1,1,1,1,1,0,0,6
ADWRSLNO,1,1,1,1,1,1,0,0,6
AKSSLR6WRST,1,1,1,1,1,1,0,0,6
AMIPY,1,1,1,1,1,1,0,0,6
AMISUD5ANYO,1,1,1,1,1,1,0,0,6
ASDSSOC2,1,1,1,1,1,1,0,0,6
ASDSREL2,1,1,1,1,1,1,0,0,6
ASDSHOM2,1,1,1,1,1,1,0,0,6
COCLALCUSE,1,1,0,0,1,1,1,1,6
SMIPY,1,1,1,1,1,1,0,0,6
SMMIPY,1,1,1,1,1,1,0,0,6
CATAG7,1,1,0,0,1,1,1,1,6
ASDSWRK2,1,1,1,1,1,1,0,0,6
MICATPY,1,1,1,1,1,1,0,0,6
ADWRELES,1,1,1,1,1,1,0,0,6
ADSUITPAYR,1,1,1,1,1,1,0,0,6
ADRX12MO,1,1,1,1,1,1,0,0,6
ADPSHMGT,1,1,1,1,1,1,0,0,6
WHODASDASC,1,1,1,1,1,1,0,0,6
WRKDRGHLP,1,1,0,0,1,1,1,1,6
MMIPY,1,1,1,1,1,1,0,0,6
WHODASTOTSC,1,1,1,1,1,1,0,0,6
LMIPY,1,1,1,1,1,1,0,0,6
KSSLR6MAX,1,1,1,1,1,1,0,0,6
LMMIPY,1,1,1,1,1,1,0,0,6
MJSKNYR,1,1,1,1,1,1,0,0,6
RXHYDMANY,1,1,1,1,1,1,0,0,6
SMIPPPY,1,1,1,1,1,1,0,0,6
IRIMPWORK,1,1,1,1,1,1,0,0,6
IRSUICTHNK,1,1,1,1,1,1,0,0,6
ILLEMFLAG,1,1,1,1,0,0,1,1,6
IRCOSUITHNK,1,1,1,1,1,1,0,0,6
IRPINC3,1,1,1,1,1,1,0,0,6
IRIMPRESP,1,1,1,1,1,1,0,0,6
IRIMPHHLD,1,1,1,1,1,1,0,0,6
IRIMPGOUT,1,1,1,1,1,1,0,0,6
IIIMFREC,1,1,0,1,1,0,1,1,6
WHODASDAED,1,1,1,1,1,1,0,0,6
MJONLYFLAG,1,0,1,1,0,1,1,1,6
ILLEMMON,0,0,1,1,1,0,1,1,5
IISYNSTMREC,1,1,0,0,0,1,1,1,5
IITRQANYREC,1,1,1,1,1,0,0,0,5
ADWREMOR,1,1,1,1,1,0,0,0,5
IRMARIT,0,0,1,1,1,0,1,1,5
IIKI17_2,1,1,0,0,0,1,1,1,5
SVYRDUDANY,1,1,1,1,1,0,0,0,5
SMIRSUD5ANY,1,1,1,1,1,0,0,0,5
DIFGETCRK,1,1,0,0,1,0,1,1,5
AMISUD5ANY,1,1,1,1,1,0,0,0,5
MJSMKYR,1,1,0,0,0,1,1,1,5
COCLDRGUSE,1,1,0,0,0,0,1,1,4
ADWRSMOR,1,1,0,0,1,1,0,0,4
ADWRSLOW,1,1,0,0,1,1,0,0,4
UD5ILALANY,0,0,1,1,1,1,0,0,4
CIGYR,0,0,0,0,1,1,1,1,4
CNSANYYR,0,0,0,0,1,1,1,1,4
MJSKNMON,0,0,0,0,1,1,1,1,4
ADPSDAYS,1,1,1,1,0,0,0,0,4
ADPSRELS,1,1,1,1,0,0,0,0,4
ADRXHLP,1,1,1,1,0,0,0,0,4
ADPSSOC,1,1,1,1,0,0,0,0,4
ADSUITPACOM,1,1,1,1,0,0,0,0,4
KSSLR6YRED,1,1,0,0,1,1,0,0,4
PSILCYEVER,1,1,0,0,1,1,0,0,4
IRIMPSOC,1,1,0,0,1,1,0,0,4
IRMHTRXMED,1,1,0,0,1,1,0,0,4
IRIMPRESPM,1,1,0,0,1,1,0,0,4
PSYCHFLAG,1,1,0,0,0,0,1,1,4
IIKRATREC,0,0,1,1,0,0,1,1,4
ADWRSLEP,1,1,0,0,1,1,0,0,4
ADWRTHOT,1,1,0,0,1,1,0,0,4
SYNSTMEVR,1,0,0,0,0,1,1,1,4
COSUITHNK,1,1,0,0,1,1,0,0,4
GRSKMRJWK,0,0,0,0,1,1,1,1,4
SUTOUTHER,0,0,1,1,1,1,0,0,4
DAMTFXMON,1,1,0,0,0,0,1,1,4
FULSD18,1,1,0,0,1,1,0,0,4
FUNICVAP21,0,0,1,1,1,1,0,0,4
CASUPROB,1,1,0,0,1,1,0,0,4
CAMHPROB,1,1,0,0,0,0,1,1,4
SNRLDCSN,1,1,0,0,0,1,0,0,3
SUTNEEDPY,0,0,1,1,1,0,0,0,3
IISTMNMINIT,0,0,0,0,0,1,1,1,3
IMFNDLEVER,0,0,0,0,1,0,1,1,3
SEXAGE,0,0,0,0,0,1,1,1,3
IMPGOUT,1,1,0,0,0,1,0,0,3
LMMISUD5ANY,0,0,1,1,1,0,0,0,3
WRKDRGEDU,0,0,0,0,0,1,1,1,3
FUCD218,0,1,1,1,0,0,0,0,3
CASUPROB2,0,0,0,0,0,1,1,1,3
CASURCVR,1,0,0,0,0,0,1,1,3
ASTHMAAGE,1,1,0,0,0,1,0,0,3
UD5ILNALANY,1,0,1,1,0,0,0,0,3
IMFEVER,0,0,0,0,0,1,1,1,3
IRSEX,0,0,0,0,0,1,1,1,3
IRHH65_2,0,0,0,0,1,0,1,1,3
WRKOKRAND,0,0,0,0,1,0,1,1,3
PRXYDATA,0,1,0,0,0,0,1,1,3
FUCGR18,0,0,1,1,1,0,0,0,3
TOBVNICFLAG,1,1,0,0,0,1,0,0,3
ADWRLOSE,1,1,0,0,0,0,0,0,2
BNGDRMDAYS,1,1,0,0,0,0,0,0,2
IISYNMRJREC,0,0,0,0,0,0,1,1,2
SMISUD5ANY,0,0,1,1,0,0,0,0,2
SNYSTOLE,1,1,0,0,0,0,0,0,2
SUICTHNK,0,0,1,1,0,0,0,0,2
SUTOUTCNSPY,0,0,0,0,1,1,0,0,2
SUNTNOHLP,0,0,0,0,1,1,0,0,2
SUNTFFLKE,1,1,0,0,0,0,0,0,2
SUNTCONSQ,1,1,0,0,0,0,0,0,2
GRSKLSDTRY,0,0,1,1,0,0,0,0,2
GRSKCOCMON,0,0,0,0,0,0,1,1,2
HVYDRKMON,0,0,0,0,0,0,1,1,2
IICOSUITHNK,0,0,1,1,0,0,0,0,2
HLTINMNT,0,0,0,0,0,0,1,1,2
HIGHBPMED,0,0,1,1,0,0,0,0,2
HALLUCOT3,0,0,1,1,0,0,0,0,2
HALLUCMON,0,0,0,0,0,0,1,1,2
EDFAM18,0,0,0,0,0,0,1,1,2
IIEDUHIGHST2,0,0,0,0,0,0,1,1,2
DSTNRV30,0,0,0,0,1,1,0,0,2
ECSTMOMON,0,0,0,0,0,0,1,1,2
ENRLCOLLFT2,0,0,1,1,0,0,0,0,2
EDUHIGHCAT,0,0,0,0,0,0,1,1,2
IIDSTEFF30,0,0,0,0,1,1,0,0,2
IIECSTMOYFU,0,0,0,0,0,0,1,1,2
COMHAPTDL,0,0,0,0,0,0,1,1,2
COMHAPTDL2,0,0,0,0,0,0,1,1,2
COMHTELE,0,0,0,0,0,0,1,1,2
COHCTELE2,0,0,0,0,0,0,1,1,2
FUPCP18,0,0,1,1,0,0,0,0,2
COHCSVHLT2,0,0,0,0,0,0,1,1,2
FUHER21,0,0,1,1,0,0,0,0,2
FUCOC18,0,0,1,1,0,0,0,0,2
COCAGLST,0,0,1,1,0,0,0,0,2
CDCGMO,0,0,0,0,0,0,1,1,2
