Metric,Tier,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Mean,Std Dev
Accuracy,Tier_1_Basic,0.6569384835479256,0.6447782546494993,0.6294706723891274,0.6579399141630902,0.6452997567606238,0.6468854163020532,0.010329509533117351
Sensitivity,Tier_1_Basic,0.60450563204005,0.65,0.68125,0.60375,0.6508135168961201,0.638063829787234,0.029912082940092913
Specificity,Tier_1_Basic,0.6637053787756421,0.6441033925686591,0.622778675282714,0.6649434571890145,0.6445880452342488,0.6480237898100557,0.01547046889734979
PPV,Tier_1_Basic,0.18830409356725147,0.1909658464928388,0.1892361111111111,0.18889323425889715,0.19117647058823528,0.18971515120366678,0.0011485472195546752
NPV,Tier_1_Basic,0.9285875706214689,0.934380126552613,0.9379562043795621,0.9284908639747349,0.9346451159522137,0.9328119762961185,0.0037094526226441253
AUC,Tier_1_Basic,0.6929579435124142,0.7105450323101776,0.7157422253634895,0.6947334410339256,0.712126325111559,0.7052209934663132,0.009456177510705589
F1,Tier_1_Basic,0.2871581450653984,0.29520295202952035,0.2961956521739131,0.2877569258266309,0.2955385052571753,0.2923704360705276,0.004028511922773104
F2,Tier_1_Basic,0.4191980558930742,0.43896673982779,0.4481907894736842,0.4194893173527879,0.4394861392832995,0.4330662083661271,0.011674265379837373
Accuracy,Tier_2_Clinical,0.8432045779685264,0.842203147353362,0.8413447782546495,0.8394849785407725,0.8484761768493346,0.8429427317933291,0.0030247008387106057
Sensitivity,Tier_2_Clinical,0.8798498122653317,0.87625,0.89,0.88625,0.8948685857321652,0.8854436795994994,0.00672390006053576
Specificity,Tier_2_Clinical,0.8384752059441124,0.8378029079159935,0.8350565428109855,0.8334410339256866,0.8424878836833603,0.8374527148560278,0.003109864070357628
PPV,Tier_2_Clinical,0.4128009395184968,0.41114369501466275,0.4108482400461627,0.4074712643678161,0.4230769230769231,0.4130682124048123,0.005295348825162989
NPV,Tier_2_Clinical,0.9818422545867221,0.981267738883633,0.9832604146851817,0.9826666666666667,0.9841479524438573,0.9826370054532122,0.0010177425553627958
AUC,Tier_2_Clinical,0.9311977154450655,0.9200835016155089,0.9290117124394184,0.9246065226171244,0.9334367879073399,0.9276672480048914,0.004784153526917293
F1,Tier_2_Clinical,0.5619504396482814,0.5596806387225549,0.5621792341097512,0.5582677165354331,0.5745279228605865,0.5633211903753214,0.005789042906238452
F2,Tier_2_Clinical,0.7174933659930598,0.7145769622833844,0.7216703831339955,0.7176113360323887,0.7316823577568564,0.720606881039937,0.005980374691624162
Accuracy,Tier_3_Personalized,0.8579399141630901,0.8573676680972818,0.8546494992846925,0.85379113018598,0.8623551294891973,0.8572206682440484,0.003009128014430113
Sensitivity,Tier_3_Personalized,0.886107634543179,0.85,0.88875,0.875,0.8785982478097623,0.8756911764705884,0.013769537449586386
Specificity,Tier_3_Personalized,0.8543046357615894,0.8583198707592892,0.8502423263327948,0.8510500807754443,0.8602584814216478,0.854835079010153,0.003930852988447439
PPV,Tier_3_Personalized,0.43975155279503103,0.43673731535003213,0.4340659340659341,0.4315659679408138,0.44798978940650924,0.43802211191166407,0.005680306342698011
NPV,Tier_3_Personalized,0.9830855018587361,0.9779127553837659,0.9833707025411061,0.981371087928465,0.9821099225378089,0.9815699940499764,0.0019619274230822923
AUC,Tier_3_Personalized,0.938099008836154,0.9256059168012926,0.9357700928917608,0.9323088651050081,0.9390406222640982,0.9341649011796627,0.004868831134435963
F1,Tier_3_Personalized,0.5877957658779577,0.5770046669495121,0.5832649712879409,0.5780346820809249,0.5934065934065934,0.5839013359205858,0.006130303984058846
F2,Tier_3_Personalized,0.7365792759051185,0.7147361782636115,0.7348077718065318,0.7258399004562421,0.7369305059836239,0.7297787264830256,0.008537907550870428
