Metric,Tier,Value
Accuracy,Tier_1_Basic,0.644198
Sensitivity,Tier_1_Basic,0.650651
Specificity,Tier_1_Basic,0.643365
PPV,Tier_1_Basic,0.190616
NPV,Tier_1_Basic,0.934497
AUC,Tier_1_Basic,0.710734
F1,Tier_1_Basic,0.294851
F2,Tier_1_Basic,0.438833
Accuracy,Tier_2_Clinical,0.839895
Sensitivity,Tier_2_Clinical,0.864865
Specificity,Tier_2_Clinical,0.836671
PPV,Tier_2_Clinical,0.406015
NPV,Tier_2_Clinical,0.979576
AUC,Tier_2_Clinical,0.92527
F1,Tier_2_Clinical,0.552606
F2,Tier_2_Clinical,0.705421
Accuracy,Tier_3_Personalized,0.8542
Sensitivity,Tier_3_Personalized,0.864865
Specificity,Tier_3_Personalized,0.852823
PPV,Tier_3_Personalized,0.431353
NPV,Tier_3_Personalized,0.979955
AUC,Tier_3_Personalized,0.932779
F1,Tier_3_Personalized,0.575616
F2,Tier_3_Personalized,0.72012
