"Metric","Tier","Fold 1","Fold 2","Fold 3","Fold 4","Fold 5","Mean","Std Dev"
"Accuracy","Tier_1_Basic",0.531330472103004,0.531187410586552,0.540629470672389,0.543061516452074,0.537415939333238,0.536724961829452,0.004809148716296
"Sensitivity","Tier_1_Basic",0.762202753441802,0.78,0.77,0.75875,0.768460575719649,0.76788266583229,0.007311824137867
"Specificity","Tier_1_Basic",0.501534485543531,0.499030694668821,0.510985460420032,0.515185783521809,0.507592891760905,0.50686586318302,0.005941955563159
"PPV","Tier_1_Basic",0.164817320703654,0.16751677852349,0.169091408180071,0.168237250554324,0.167667941015838,0.167466139795475,0.001434966182103
"NPV","Tier_1_Basic",0.942336874051593,0.946094946401225,0.945025395876905,0.942933175635718,0.944394349263601,0.944156948245808,0.001369429578712
"AUC","Tier_1_Basic",0.679722411858305,0.706228998384491,0.703529382067851,0.693639943457189,0.69636247652053,0.695896642457673,0.009294425428069
"F1","Tier_1_Basic",0.271028037383178,0.275801104972376,0.277290119288769,0.27540834845735,0.275274602107151,0.274960442441765,0.00209271275338
"F2","Tier_1_Basic",0.44188071397475,0.450541516245487,0.450094987578547,0.445799059929495,0.447652376786235,0.447193730902903,0.003162548625625
"Accuracy","Tier_2_Clinical",0.820743919885551,0.823032904148784,0.81931330472103,0.814592274678112,0.826584632994706,0.820853407285637,0.003979518554651
"Sensitivity","Tier_2_Clinical",0.911138923654568,0.8975,0.91,0.925,0.926157697121402,0.913959324155194,0.010632375882449
"Specificity","Tier_2_Clinical",0.809077693425941,0.813408723747981,0.807592891760905,0.80032310177706,0.81373182552504,0.808826847247385,0.004877533416451
"PPV","Tier_2_Clinical",0.381151832460733,0.383342231713828,0.379364252214695,0.374493927125506,0.390913893291072,0.381853227361167,0.005388117539555
"NPV","Tier_2_Clinical",0.986023622047244,0.983974985342974,0.98580161703806,0.988033506182688,0.988422291993721,0.986451204520937,0.001620204706892
"AUC","Tier_2_Clinical",0.928988727429235,0.918290488691438,0.925827746365105,0.923970819870759,0.929673198121238,0.925350196095555,0.004096277784561
"F1","Tier_2_Clinical",0.537467700258398,0.537224092779648,0.535490989334314,0.53314121037464,0.549777117384844,0.538620222026369,0.005789049373774
"F2","Tier_2_Clinical",0.712886799843322,0.707668046520796,0.71107638210588,0.71483771251932,0.727058361171154,0.714705460432094,0.006612330567621
"Accuracy","Tier_3_Personalized",0.833619456366237,0.831330472103004,0.830472103004292,0.825035765379113,0.833738732293604,0.83083930582925,0.003168377338955
"Sensitivity","Tier_3_Personalized",0.912390488110137,0.8925,0.91125,0.915,0.924906132665832,0.911209324155194,0.010520526601786
"Specificity","Tier_3_Personalized",0.823453400096915,0.823424878836834,0.820032310177706,0.813408723747981,0.821970920840065,0.8204580467399,0.003739979377818
"PPV","Tier_3_Personalized",0.400109769484083,0.395130049806309,0.395550732501356,0.3879173290938,0.401412275936991,0.396024031364508,0.00474274756024
"NPV","Tier_3_Personalized",0.986455108359133,0.98340729307351,0.986205556634933,0.986674505193024,0.988344988344988,0.986217490321118,0.001593042607719
"AUC","Tier_3_Personalized",0.935694432286846,0.924113792407108,0.931377524232633,0.931641457996769,0.93749840774312,0.932065122933295,0.004616674372245
"F1","Tier_3_Personalized",0.556276230446395,0.547756041426927,0.551645856980704,0.54484555266096,0.559848484848485,0.552074433272694,0.005462231742838
"F2","Tier_3_Personalized",0.726385013949781,0.713001797483523,0.722784057108864,0.719481030076666,0.733571570379194,0.723044693799606,0.006864404799513
