Metric,Tier,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Mean,Std Dev
Accuracy,Tier_1_Basic,0.625035765379113,0.6610872675250358,0.6755364806866953,0.6553648068669528,0.6827872370868507,0.6599623115089295,0.02002896988237131
Sensitivity,Tier_1_Basic,0.6282853566958698,0.63625,0.62,0.6225,0.6132665832290363,0.6240603879849813,0.007770003655679846
Specificity,Tier_1_Basic,0.6246163786141172,0.664297253634895,0.6827140549273021,0.6596122778675283,0.6917609046849758,0.6646001739457637,0.023192639934368504
PPV,Tier_1_Basic,0.17763623496107572,0.19675299574797062,0.2016260162601626,0.19117082533589252,0.2043369474562135,0.19430460395226298,0.009464678652670722
NPV,Tier_1_Basic,0.9286743515850144,0.9339086986145809,0.9328918322295806,0.9311288483466362,0.9326944020910477,0.9318596265733721,0.0018243359602776704
AUC,Tier_1_Basic,0.6920423668011763,0.7116252019386107,0.7180233239095316,0.7019789983844911,0.7155461896029164,0.7078432161273451,0.00960551613046168
F1,Tier_1_Basic,0.2769655172413793,0.3005609684086212,0.3042944785276074,0.29251101321585904,0.30653737879261805,0.29617387123721695,0.010723530811453653
F2,Tier_1_Basic,0.41680504815675856,0.4397788145844133,0.4381625441696113,0.4289405684754522,0.4379692527708259,0.43233124563141223,0.008646582562530456
Accuracy,Tier_2_Clinical,0.8336194563662375,0.826752503576538,0.834620886981402,0.8218884120171673,0.8406066676205466,0.8314975853123784,0.006512829533760537
Sensitivity,Tier_2_Clinical,0.9011264080100125,0.89375,0.89875,0.9025,0.9086357947434293,0.9009524405506883,0.004861790428282201
Specificity,Tier_2_Clinical,0.8249071232434179,0.8180936995153474,0.8263327948303716,0.811470113085622,0.8318255250403878,0.8225258511430293,0.007050113810381533
PPV,Tier_2_Clinical,0.3991130820399113,0.3883758826724606,0.4007803790412486,0.382212811011117,0.41086587436332767,0.396269605825613,0.010013868711788778
NPV,Tier_2_Clinical,0.9847666795217894,0.9834919401825597,0.9844110854503464,0.9847088806116447,0.9860206817311375,0.9846798534994956,0.0008111197187779731
AUC,Tier_2_Clinical,0.931201051063466,0.917699414378029,0.9287917003231019,0.9240187802907917,0.9311387821206233,0.9265699456352025,0.005146889693988409
F1,Tier_2_Clinical,0.5532078371110257,0.5414615675880349,0.5543562066306862,0.5370026031982149,0.5658612626656274,0.5503778954387178,0.01021733365758274
F2,Tier_2_Clinical,0.72,0.7091846855782583,0.7198638366039247,0.7093731577913146,0.7314124521458795,0.7179668264238754,0.008240078056287995
Accuracy,Tier_3_Personalized,0.8419170243204578,0.836623748211731,0.8330472103004292,0.8349070100143061,0.8451852911718415,0.8383360568037531,0.004525430360064077
Sensitivity,Tier_3_Personalized,0.904881101376721,0.86625,0.91375,0.90375,0.9061326658322904,0.8989527534418021,0.016722072922290974
Specificity,Tier_3_Personalized,0.8337909869164917,0.8327948303715671,0.8226171243941842,0.8260096930533118,0.8373182552504039,0.8305061779971916,0.005383081634759812
PPV,Tier_3_Personalized,0.4126712328767123,0.4010416666666667,0.39967195188627663,0.40166666666666667,0.41825534373194684,0.40666137236565386,0.007428576865121112
NPV,Tier_3_Personalized,0.9854906452844597,0.9796655264158115,0.9866304979655106,0.9851637764932563,0.9857360213008749,0.9845372934919826,0.002484106614595206
AUC,Tier_3_Personalized,0.9346911187037423,0.9220775444264944,0.931718295638126,0.9321450928917608,0.9391936811159345,0.9319651465552117,0.005613209918847638
F1,Tier_3_Personalized,0.5668365346922776,0.5482594936708861,0.5561049828832255,0.5561538461538461,0.5723320158102767,0.5599373746421025,0.0085627186976869
F2,Tier_3_Personalized,0.7305982215036378,0.703125,0.7267846490355936,0.723,0.7347270144103917,0.7236469769899246,0.010977268642016907
