Feature (code),Code Meaning,No MDE (Weighted %) or Mean ± SD,MDE (Weighted %) or Mean ± SD
Total participants,Total respondents in the analytic sample,"39,948 (88.5 %)","5,185 (11.5 %)"
AKSSLR6WRST,K6 Psychological Distress Score (0–24),1.19 ± 2.96,9.01 ± 5.20
WHODASDASC,WHODAS Disability Score (0–100),0.79 ± 1.78,4.93 ± 2.66
CATAG7_4,Age 18–25 y,4.3 %,8.4 %
CATAG7_5,Age 26–34 y,7.6 %,18.3 %
CATAG7_6,Age 35–49 y,14.8 %,24.4 %
CATAG7_7,Age 50+ y,73.2 %,48.9 %
IRSEX_1,Male,49.9 %,35.4 %
IRSEX_2,Female,50.1 %,64.6 %
NEWRACE2_1,White,60.7 %,66.0 %
NEWRACE2_2,Black or African American,12.3 %,9.5 %
NEWRACE2_3,American Indian / Alaska Native,0.5 %,0.2 %
NEWRACE2_4,Native Hawaiian / Pacific Islander,0.4 %,0.3 %
NEWRACE2_5,Asian,6.5 %,3.6 %
NEWRACE2_6,Two or more races,1.8 %,3.8 %
NEWRACE2_7,Hispanic or Latino,17.7 %,16.6 %
UD5ILLANY_0,No Drug Use Disorder,91.9 %,72.6 %
UD5ILLANY_1,Has Drug Use Disorder,8.1 %,27.4 %
