Metric,Tier,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Mean,Std Dev
Accuracy,Tier_1_Basic,0.5589413447782546,0.532761087267525,0.6017167381974249,0.5685264663805436,0.6246959507797968,0.577328317480709,0.03237369026304419
Sensitivity,Tier_1_Basic,0.7246558197747184,0.78375,0.7075,0.73625,0.685857321652065,0.7276026282853567,0.03281089562422419
Specificity,Tier_1_Basic,0.5375545146179939,0.5003231017770597,0.5880452342487884,0.5468497576736672,0.6168012924071082,0.5579147801449235,0.040569057526034534
PPV,Tier_1_Basic,0.16821615339918652,0.1685483870967742,0.1816431322207959,0.17354154390100177,0.18767123287671234,0.17592408989889413,0.007618301852273965
NPV,Tier_1_Basic,0.9379932356257046,0.9470948012232416,0.9395973154362416,0.9413236929922135,0.9383140820840501,0.9408646254722903,0.003328124361541547
AUC,Tier_1_Basic,0.6935844332956173,0.7090032310177706,0.7147467689822294,0.7014337641357028,0.7164405830389764,0.7070417560940593,0.008533483065316006
F1,Tier_1_Basic,0.27304880924310304,0.2774336283185841,0.28907048008171604,0.28087744396757275,0.2947028771175047,0.2830266477456961,0.007852648547143654
F2,Tier_1_Basic,0.4361253389575173,0.45303468208092484,0.448068397720076,0.4466181377009403,0.44800523217789406,0.4463703577274705,0.005567605910714691
Accuracy,Tier_2_Clinical,0.8319027181688126,0.830758226037196,0.8277539341917024,0.826752503576538,0.8363142080412076,0.8306963180030913,0.003383229734130364
Sensitivity,Tier_2_Clinical,0.9036295369211514,0.895,0.90875,0.90375,0.9173967459324155,0.9057052565707135,0.007330696346332648
Specificity,Tier_2_Clinical,0.8226457761266355,0.8224555735056542,0.8172859450726979,0.8168012924071082,0.8258481421647819,0.8210073458553755,0.0034570170779147096
PPV,Tier_2_Clinical,0.3967032967032967,0.3944903581267218,0.39128094725511303,0.3893376413570275,0.40474875759249035,0.3953122002069299,0.0053592078327017656
NPV,Tier_2_Clinical,0.9851063829787234,0.983768115942029,0.9857755261106781,0.9849990259107734,0.9872537659327926,0.9853805633749992,0.0011389131516933786
AUC,Tier_2_Clinical,0.9317156460112372,0.9192026453957995,0.929652766558966,0.9254407310177706,0.9332647230686177,0.9278553024104783,0.005061493660212899
F1,Tier_2_Clinical,0.5513554791905307,0.5476099426386233,0.547027840481565,0.5442228076778322,0.5616858237547893,0.5503803787486682,0.006092526868595277
F2,Tier_2_Clinical,0.7196969696969697,0.7138584247258225,0.7186635033610123,0.7148507019972316,0.73197523467146,0.7198089668904992,0.006470487533288246
Accuracy,Tier_3_Personalized,0.836480686695279,0.8243204577968527,0.8256080114449214,0.828755364806867,0.8406066676205466,0.8311542376728933,0.0063393257511622616
Sensitivity,Tier_3_Personalized,0.9098873591989988,0.88125,0.92375,0.90125,0.918648310387985,0.9069571339173967,0.014971294469976157
Specificity,Tier_3_Personalized,0.8270069455661444,0.8169628432956382,0.812924071082391,0.8193861066235865,0.8305331179321487,0.8213626168999818,0.00648737530023343
PPV,Tier_3_Personalized,0.40433815350389324,0.3835690968443961,0.38956246705324193,0.39206090266449156,0.411665731912507,0.39623927039570594,0.010258063951067266
NPV,Tier_3_Personalized,0.9861325115562404,0.9815605590062112,0.9880227763597094,0.9846631721995729,0.9875144064540914,0.9855786851151651,0.0023242557590136157
AUC,Tier_3_Personalized,0.9378966479865298,0.9250388731825524,0.9330289781906301,0.9310669426494346,0.9397262531314385,0.9333515390281171,0.005209968040407088
F1,Tier_3_Personalized,0.5598767809010397,0.5344958301743745,0.5480163144234335,0.5464190981432361,0.56855151045701,0.5514719068198188,0.011730421487131978
F2,Tier_3_Personalized,0.7278734481377653,0.6996824136562128,0.7249362370021581,0.7154197261361381,0.7370958023699538,0.7210015254604456,0.012707415451284293
